,Sample,Microbes,Culture,Media,Strain,Mean_TIC,TOTAL_TIC,CORRECTION2,PEAK_AREA,PEAK_AREA_TIC,PEAK_AREA_TIC_Log,PEAK_AREA_Log,TIC_Log_Scaled,Metabolites,Log_Scaled,Class,Sample_ID_F
2373,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,4032369,6479614.445,6.811549165,6.605560267,0.308842397,Serine_1Bz,0.134369577,Amino Acids,48_Media_Control_SA_Media
2374,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,3144168,5052364.105,6.703494641,6.497505743,0.321645927,Threonine_1Bz,0.132255544,Amino Acids,48_Media_Control_SA_Media
2375,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,3335250,5359413.803,6.72911729,6.523128393,0.307270305,Tyrosine_2Bz,0.126783755,Amino Acids,48_Media_Control_SA_Media
2376,48,Media,Control,SA,Media,65193990,104760233.8,1.606900173,3305029,5310851.673,6.725164172,6.519175275,0.151398193,Valine_1Bz,0.003467528,Amino Acids,48_Media_Control_SA_Media
2902,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,1510214,5521104.987,6.742026006,6.179038492,-0.105746815,Alanine_1Bz,-0.831234874,Amino Acids,71_Media_Control_SA_Media
2903,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,4340242,15867242.49,7.200501459,6.637513945,0.112270157,Arginine_1Bz,-0.784038581,Amino Acids,71_Media_Control_SA_Media
2904,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,396321,1448887.277,6.161034599,5.598047085,0.053023228,Asparagine_1Bz,-0.701982134,Amino Acids,71_Media_Control_SA_Media
2905,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,622455,2275597.634,6.357095473,5.79410796,0.003294566,Aspartic.Acid_1Bz,-0.806189753,Amino Acids,71_Media_Control_SA_Media
2906,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,NA,NA,NA,NA,-3.133912169,Beta.Alanine_1Bz,-3.10940451,Amino Acids,71_Media_Control_SA_Media
2907,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,NA,NA,NA,NA,-5.306944586,Citrulline_1Bz,-5.12088313,Amino Acids,71_Media_Control_SA_Media
2908,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,1073093,3923059.324,6.593624876,6.030637362,-0.336444487,Glutamic.Acid_1Bz,-1.013216987,Amino Acids,71_Media_Control_SA_Media
2909,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,49908,182455.8027,5.26115768,4.698170166,-1.189800689,Glutamine_1Bz,-1.924193291,Amino Acids,71_Media_Control_SA_Media
2910,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,670927,2452803.646,6.389662783,5.826675269,0.058112623,Glycine_1Bz,-0.540858442,Amino Acids,71_Media_Control_SA_Media
2911,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,1099975,4021335.69,6.604370328,6.041382815,0.428120392,Histidine_1Bz,-0.416818291,Amino Acids,71_Media_Control_SA_Media
2912,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,1209265,4420882.75,6.645508997,6.082521483,0.267865444,Isoleucine_1Bz,-0.578013978,Amino Acids,71_Media_Control_SA_Media
2913,71,Media,Control,SA,Media,28655563,104760233.8,3.655842806,2059236,7528243.116,6.876693636,6.313706122,0.033040114,Leucine_1Bz,-0.781424128,Amino Acids,71_Media_Control_SA_Media
